web_name,team,position,form,value,now_cost,predicted_value,projection,Z Score,total_rank
Smalling,Man Utd,Defender,0.0,0.0,4.9,0.0,0.0,-4.625020085256125,209.0
Benkovic,Leicester,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Harwood-Bellis,Man City,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Otamendi,Man City,Defender,0.0,0.0,4.9,0.0,0.0,-4.625020085256125,209.0
Koumetio,Liverpool,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Davies,Liverpool,Defender,0.0,0.0,4.7,0.0,0.0,-4.625020085256125,209.0
Lonwijk,Wolves,Defender,0.0,0.0,3.9,0.0,0.0,-4.625020085256125,209.0
Drameh,Leeds,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Berardi,Leeds,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Cresswell,Leeds,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Casey,Leeds,Defender,0.0,0.0,3.8,0.0,0.0,-4.625020085256125,209.0
Douglas,Leeds,Defender,0.0,0.0,3.8,0.0,0.0,-4.625020085256125,209.0
Mbete,Man City,Defender,0.0,0.0,4.0,0.0,0.0,-4.625020085256125,209.0
Guilbert,Aston Villa,Defender,0.0,0.0,4.3,0.0,0.0,-4.625020085256125,209.0
Tchaptchet,Southampton,Defender,0.0,0.0,4.0,-0.00013802622498274649,-0.0005521048999309859,-4.62504621531837,239.0
Tomori,Chelsea,Defender,0.0,0.0,4.7,-0.0017253278122843338,-0.008109040717736368,-4.62540387054533,240.0
Hector,Fulham,Defender,0.0,0.0,4.1,-0.0047619047619047615,-0.01952380952380952,-4.625944109582221,241.0
Fosu-Mensah,Man Utd,Defender,0.0,0.0,4.3,-0.004899930986887508,-0.021069703243616282,-4.626017273756504,242.0
Taylor,Aston Villa,Defender,0.0,-0.23809523809523808,4.2,-0.14458247066942687,-0.6072463768115929,-4.71100222090438,243.0
Ramsay,Southampton,Defender,0.0,-0.75,4.0,-0.1444057297715831,-0.5776229190863325,-4.832671216559772,244.0
