web_name,team,position,value,projection,now_cost,total_rank,form
Watts,Newcastle,Defender,0.0,0.0,3.9,207.0,0.0
Lejeune,Newcastle,Defender,0.0,0.0,4.3,207.0,0.0
Mengi,Man Utd,Defender,0.0,0.0,3.9,207.0,0.0
Dalot,Man Utd,Defender,0.0,0.0,4.8,207.0,0.0
Jones,Man Utd,Defender,0.0,0.0,4.8,207.0,0.0
Rojo,Man Utd,Defender,0.0,0.0,4.8,207.0,0.0
Smalling,Man Utd,Defender,0.0,0.0,4.9,207.0,0.0
Harwood-Bellis,Man City,Defender,0.0,0.0,4.0,207.0,0.0
Mawson,Fulham,Defender,0.0,0.0,4.3,207.0,0.0
Mbete,Man City,Defender,0.0,0.0,4.0,207.0,0.0
Davies,Liverpool,Defender,0.0,0.0,4.9,207.0,0.0
Lonwijk,Wolves,Defender,0.0,0.0,4.0,207.0,0.0
Berardi,Leeds,Defender,0.0,0.0,4.0,207.0,0.0
Cresswell,Leeds,Defender,0.0,0.0,4.0,207.0,0.0
Casey,Leeds,Defender,0.0,0.0,3.9,207.0,0.0
Douglas,Leeds,Defender,0.0,0.0,3.8,207.0,0.0
Daley-Campbell,Leicester,Defender,0.0,0.0,4.0,207.0,0.0
Benkovic,Leicester,Defender,0.0,0.0,4.3,207.0,0.0
Kongolo,Fulham,Defender,0.0,0.0,4.3,207.0,0.0
Otamendi,Man City,Defender,0.0,0.0,4.9,207.0,0.0
Fosu-Mensah,Man Utd,Defender,0.0,-0.0215,4.3,236.0,0.0
Hector,Fulham,Defender,0.0,-0.17994444444444446,4.1,237.0,0.0
Taylor,Aston Villa,Defender,-0.23809523809523808,-0.7272222222222205,4.2,238.0,0.0
Ramsay,Southampton,Defender,-0.75,-2.2084656084656094,4.0,239.0,0.0
